ID товара,Наименование,Цена,Город,Промо цена,Ссылка на страницу
3795035,Вафли Вастэко Пиццелли из полбы карри и орегано с морской солью 33г,54.90,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3795035/
4047041,Чипсы PastiLab фруктовые банан 40г,119.90,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/4047041/
4106525,Орехи Щелкунов Арахис в кокосовом соке 120 гр,217,Санкт-Петербург,119,https://www.detmir.ru/product/index/id/4106525/
3294941,Ботончик Рототайка на фруктозе абрикос 27г,26.90,Санкт-Петербург,21.68,https://www.detmir.ru/product/index/id/3294941/
3710575,Батончик Капитан Сильвер ореховый йод в шоколадной глазури 35г,29.90,Санкт-Петербург,19.70,https://www.detmir.ru/product/index/id/3710575/
4044904,Батончик Teen Bar фруктово-ореховый миндаль-фундук-кешью 35г,68.90,Санкт-Петербург,58.31,https://www.detmir.ru/product/index/id/4044904/
3430083,Чипсы EcoSpace фруктовые клюква-имбирь 40г,166.30,Санкт-Петербург,139,https://www.detmir.ru/product/index/id/3430083/
3503233,Кокос Chikalab Премиум чипсы слабой обжарки 70г,168.90,Санкт-Петербург,139,https://www.detmir.ru/product/index/id/3503233/
3889800,Гематоген Народный глазурь-курага 40г,26.90,Санкт-Петербург,22.67,https://www.detmir.ru/product/index/id/3889800/
3533589,Фрукты сушеные Gifruit дыня 250г,659,Санкт-Петербург,549,https://www.detmir.ru/product/index/id/3533589/
3604602,Батончик Ого! фруктовый чернослив в шоколаде 40г,60.90,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3604602/
3795037,Вафли Вастэко Пиццелли из полбы с травами 33г,54.90,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3795037/
3291487,Чипсы FitFeel кокосовые 40г,101.70,Санкт-Петербург,89,https://www.detmir.ru/product/index/id/3291487/
3467344,Карамель медовая HoneyWay с лимоном и имбирем 30г,219,Санкт-Петербург,179,https://www.detmir.ru/product/index/id/3467344/
3480619,Ядра Nutvill семян тыквы 500г,641,Санкт-Петербург,539,https://www.detmir.ru/product/index/id/3480619/
3506026,Чипсы KimJoy кукуруные с морской капустой 35г,178.90,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3506026/
3533577,Фрукты сушеные Gifruit киви 110г,267,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3533577/
3533617,Фрукты сушеные Gifruit киви 75г,209,Санкт-Петербург,179,https://www.detmir.ru/product/index/id/3533617/
3286079,Батончик Леовит Худеем за неделю мюсли с фенхелем и зеленым чаем 30г,27.90,Санкт-Петербург,23.66,https://www.detmir.ru/product/index/id/3286079/
3286858,Снек Take a Bite паффы мультизлаковые трюфель 30г,84.50,Санкт-Петербург,75.14,https://www.detmir.ru/product/index/id/3286858/
3480247,Батончик SOJ Маршмэллоу с соленой карамелью в темном шоколаде 30г,74.90,Санкт-Петербург,66.23,https://www.detmir.ru/product/index/id/3480247/
3498111,Батончик Zatochito злаковый банан-воздушный рис 22г,44.90,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3498111/
3589068,Чипсы Primebar протеиновые Mix 30г*3,599,Санкт-Петербург,529,https://www.detmir.ru/product/index/id/3589068/
3649411,Мандарин Vitazine сублимированный 15г,261,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3649411/
3746410,Батончик Mindys шоколад-миндаль-апельсин 35г,54.90,Санкт-Петербург,48.41,https://www.detmir.ru/product/index/id/3746410/
3889795,Гематоген Народный с арахисом 40г,25.10,Санкт-Петербург,22.67,https://www.detmir.ru/product/index/id/3889795/
3486242,Снеки Зеленика сушеное ассорти морковь-свекла-тыква 30г,101.90,Санкт-Петербург,86.03,https://www.detmir.ru/product/index/id/3486242/
3498110,Батончик Zatochito злаковый малина-воздушный рис 22г,44.90,Санкт-Петербург,37.52,https://www.detmir.ru/product/index/id/3498110/
3533583,Фрукты сушеные Gifruit слива 75г,209,Санкт-Петербург,169,https://www.detmir.ru/product/index/id/3533583/
3418940,Батончик Ego ореховый миндаль и вишня в кондитерской глазури 35г,69.70,Санкт-Петербург,41.48,https://www.detmir.ru/product/index/id/3418940/
3498108,Пастила Friends яблоко-слива 27г,49.90,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3498108/
3537103,Криспы Happy Crisp горох-чечевица-киноа 50г,59.90,Санкт-Петербург,49.40,https://www.detmir.ru/product/index/id/3537103/
3550043,Крекеры TRAWA от Get Health льняные 60г,165.30,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3550043/
3992483,Батончик ФРУТИЛАД Kids банан-яблоко-морковь 25г в ассортименте,42.10,Санкт-Петербург,31.58,https://www.detmir.ru/product/index/id/3992483/
3294966,Завтрак LaFitore легкий рисовый 110г,123.50,Санкт-Петербург,97.91,https://www.detmir.ru/product/index/id/3294966/
3889802,Гематоген Народный глазурь-арахис 40г,26.90,Санкт-Петербург,22.67,https://www.detmir.ru/product/index/id/3889802/
3322326,Стружка Дары Памира Boncocos кокосовая низкой жирности 250г,203,Санкт-Петербург,159,https://www.detmir.ru/product/index/id/3322326/
3604606,Батончик Ого! фруктовый с облепихой 30г,53.90,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3604606/
3898181,Соломка Вастэко из полбы с паприкой без дрожжей 150г,142.90,Санкт-Петербург,119,https://www.detmir.ru/product/index/id/3898181/
3442417,Чипсы NEWTON из дыни 30г,154.90,Санкт-Петербург,77.12,https://www.detmir.ru/product/index/id/3442417/
4093989,Абрикос Щелкунов сушеный 120 гр,255,Санкт-Петербург,155,https://www.detmir.ru/product/index/id/4093989/
3286036,Орехи Семушка кешью сушеный 40г,108.90,Санкт-Петербург,91.97,https://www.detmir.ru/product/index/id/3286036/
3486246,Снеки Зеленика сушеный ананас 15г,128.90,Санкт-Петербург,76.13,https://www.detmir.ru/product/index/id/3486246/
3794841,Батончик BE-KIND цельные злаки-мед 30г,64.90,Санкт-Петербург,50.39,https://www.detmir.ru/product/index/id/3794841/
3328901,Фрукты сушеные Экофермер яблоко75г,149.90,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3328901/
3496564,Гранола ОлЛайт медовая с попкорном и бананом 40г,64.90,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3496564/
3649413,Стружка Vitazine кокосовая 300г,237,Санкт-Петербург,149,https://www.detmir.ru/product/index/id/3649413/
3295003,Батончик Bifrut мюсли на фруктозе тропик 30г,24.50,Санкт-Петербург,19.70,https://www.detmir.ru/product/index/id/3295003/
3310259,Чипсы King Island кокосовые 40г,170.90,Санкт-Петербург,109,https://www.detmir.ru/product/index/id/3310259/
3664713,Батончик Аматег Optimus мюсли злаки-клюква 25г,37.10,Санкт-Петербург,31.58,https://www.detmir.ru/product/index/id/3664713/
3664717,Батончик Аматег Optimus мюсли злаки-вишня 25г,37.30,Санкт-Петербург,31.58,https://www.detmir.ru/product/index/id/3664717/
3991967,Батончик More life клубника 40г,43.70,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3991967/
3604603,Батончик Ого! фруктовый вишня в шоколаде 40г,60.90,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3604603/
3277075,Снеки Зеленика сушеный сладкий перец 30г,172.90,Санкт-Петербург,139,https://www.detmir.ru/product/index/id/3277075/
3310414,Чипсы Happy Monkey кокосовые какао 40г,169.90,Санкт-Петербург,139,https://www.detmir.ru/product/index/id/3310414/
3430075,Пастилки EcoSpace на гречишном чае клубника-топинамбур 40г,174.90,Санкт-Петербург,139,https://www.detmir.ru/product/index/id/3430075/
3491067,Крекеры Bifrut гречневые с зеленью 210г,164.90,Санкт-Петербург,139,https://www.detmir.ru/product/index/id/3491067/
3533582,Фрукты сушеные Gifruit киви 55г,170.90,Санкт-Петербург,139,https://www.detmir.ru/product/index/id/3533582/
3284506,Батончик Take a Slim Bite фруктово-ягодный малина 30г,67.50,Санкт-Петербург,29,https://www.detmir.ru/product/index/id/3284506/
3537113,Снеки Вегенсы сушеные картофель-морковь 50г,80.90,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3537113/
4044906,Батончик Teen Bar фруктово-ореховый изюм-фундук-бразильский орех 35г,68.90,Санкт-Петербург,58.31,https://www.detmir.ru/product/index/id/4044906/
3294943,Батончик Рототайка на фруктозе вишня 27г,26.70,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3294943/
3498109,Пастила Friends яблоко-апельсин 27г,49.90,Санкт-Петербург,44.45,https://www.detmir.ru/product/index/id/3498109/
3533615,Фрукты сушеные Gifruit хурма 80г,247,Санкт-Петербург,199,https://www.detmir.ru/product/index/id/3533615/
3795034,Вафли Вастэко Пиццелли из полбы карри и орегано без соли 33г,58.90,Санкт-Петербург,49.40,https://www.detmir.ru/product/index/id/3795034/
3310373,Снек Лакомства для здоровья лен-клюква 60г,179.90,Санкт-Петербург,129,https://www.detmir.ru/product/index/id/3310373/
3430071,Батончик EcoSpace шелковица-кэроб 55г,154.30,Санкт-Петербург,129,https://www.detmir.ru/product/index/id/3430071/
3533609,Фрукты сушеные Gifruit киви 25г,94.90,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3533609/
3710573,Батончик Капитан Капитан Сильвер с джемом в шоколадной глазури 50г,34.90,Санкт-Петербург,29.60,https://www.detmir.ru/product/index/id/3710573/
4120007,Изделие кондитерское Buckwheat Кешью и кокос без сахара 70 г,200,Санкт-Петербург,120,https://www.detmir.ru/product/index/id/4120007/
3289642,Батончик Take a Slim Bite фруктово-ягодный матча 30г,60.90,Санкт-Петербург,25.64,https://www.detmir.ru/product/index/id/3289642/
3491027,Батончик Racionika диетический постный апельсин 50г,66.90,Санкт-Петербург,39.50,https://www.detmir.ru/product/index/id/3491027/
3498116,Пастила Friends яблоко-слива 5*27г,215,Санкт-Петербург,179,https://www.detmir.ru/product/index/id/3498116/
3533570,Овощи сушеные Gifruit томат 60г,203,Санкт-Петербург,179,https://www.detmir.ru/product/index/id/3533570/
3533573,Фрукты сушеные Gifruit дыня 90г,359,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3533573/
4106528,Орехи Щелкунов Миндальные лепестки 80 гр,246,Санкт-Петербург,177,https://www.detmir.ru/product/index/id/4106528/
3992460,Батончик ФРУТИЛАД Kids бананово-клубничный 25г в ассортименте,42.10,Санкт-Петербург,31.58,https://www.detmir.ru/product/index/id/3992460/
3296395,Снеки McLloyds органические из кукурузы и гороха сметана-лук 45г,333,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3296395/
3310416,Чипсы Happy Monkey кокосовые карамель-соль 40г,169.90,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3310416/
3452854,Попкорн Holy Corn СВЧ морская соль 65г,83.30,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3452854/
3455895,Батончик Granolife злаковый кокос-семена чиа 30г,48.90,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3455895/
3533612,Фрукты сушеные Gifruit дикое яблоко 65г,166.90,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3533612/
3707627,Манго Можно много сублимированное 20г,205,Санкт-Петербург,169,https://www.detmir.ru/product/index/id/3707627/
3976794,Орех Ufeelgood Пекан кленовый сироп-белый шоколад-малина 80г,385,Санкт-Петербург,339,https://www.detmir.ru/product/index/id/3976794/
4086879,Орехи Щелкунов Грецкий очищенный 120 гр,287,Санкт-Петербург,169,https://www.detmir.ru/product/index/id/4086879/
3298575,Батончик Фруктовая Энергия Фрутилад облепиха 30г,45.50,Санкт-Петербург,40.49,https://www.detmir.ru/product/index/id/3298575/
3322299,Батончик Дары Памира Шелковица с Памира шелковица 20г,55.50,Санкт-Петербург,46.43,https://www.detmir.ru/product/index/id/3322299/
3537112,Снеки Вегенсы сушеные морковь-яблоко 50г,117.90,Санкт-Петербург,82.07,https://www.detmir.ru/product/index/id/3537112/
3533590,Фрукты сушеные Gifruit киви 250г,405,Санкт-Петербург,319,https://www.detmir.ru/product/index/id/3533590/
3664714,Батончик Аматег Optimus мюсли злаки-кокос 25г,37.10,Санкт-Петербург,31.58,https://www.detmir.ru/product/index/id/3664714/
3664715,Батончик Аматег Optimus мюсли злаки-яблоко-корица 25г,37.30,Санкт-Петербург,31.58,https://www.detmir.ru/product/index/id/3664715/
3992465,Батончик мюсли DiYes без сахара яблоко 25г,31.10,Санкт-Петербург,21.68,https://www.detmir.ru/product/index/id/3992465/
3418946,Батончик Ego фруктово-ягодный черника 40г,61.50,Санкт-Петербург,42.47,https://www.detmir.ru/product/index/id/3418946/
3430078,Чипсы EcoSpace овощные брокколи-шпинат 40г,147.10,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3430078/
3533574,Фрукты сушеные Gifruit слива 160г,295,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3533574/
3649409,Инжир Vitazine сублимированный 36г,407,Санкт-Петербург,299,https://www.detmir.ru/product/index/id/3649409/
3666043,Снеки Аппетитный перекус картофельные с семенем льна зеленый лук 100г,188.90,Санкт-Петербург,149,https://www.detmir.ru/product/index/id/3666043/
4044905,Батончик Teen Bar фруктово-ягодный манго-клубника-чиа 35г,68.90,Санкт-Петербург,58.31,https://www.detmir.ru/product/index/id/4044905/
4047021,Чипсы PastiLab фруктовые апельсин 30г,124.90,Санкт-Петербург,99,https://www.detmir.ru/product/index/id/4047021/
4047040,Чипсы PastiLab фруктовые яблоко-корица 30г,124.90,Санкт-Петербург,99,https://www.detmir.ru/product/index/id/4047040/
3503235,Семена кунжута Chikalab обжаренные 150г,198.90,Санкт-Петербург,139,https://www.detmir.ru/product/index/id/3503235/
3533605,Фрукты сушеные Gifruit дыня 15г,111.90,Санкт-Петербург,93.95,https://www.detmir.ru/product/index/id/3533605/
3533613,Фрукты сушеные Gifruit дыня 45г,176.90,Санкт-Петербург,139,https://www.detmir.ru/product/index/id/3533613/
3700737,Батончик ФРУТИЛАД Kids яблочный 25г в ассортименте,42.10,Санкт-Петербург,31.58,https://www.detmir.ru/product/index/id/3700737/
3296397,Снеки Organique Love органические кукурузные с морской солью 50г,188.30,Санкт-Петербург,89,https://www.detmir.ru/product/index/id/3296397/
3666068,Орех кедровый Eleo отборный в скорлупе 100г,269,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3666068/
3430069,Батончик EcoSpace киноа-финик 55г,155.90,Санкт-Петербург,129,https://www.detmir.ru/product/index/id/3430069/
3496563,Гранола ОлЛайт медовая с попкорном 40г,64.90,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3496563/
3533575,Фрукты сушеные Gifruit хурма 110г,317,Санкт-Петербург,259,https://www.detmir.ru/product/index/id/3533575/
3991968,Батончик More life кофе 40г,43.70,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3991968/
3533585,Фрукты сушеные Gifruit яблоко 35г,149.90,Санкт-Петербург,119,https://www.detmir.ru/product/index/id/3533585/
3604597,Сухарики Ого! ванильные 250г,59.90,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3604597/
3954986,Батат Вкусы Мира запеченный 80г,153.10,Санкт-Петербург,119,https://www.detmir.ru/product/index/id/3954986/
3339375,Жмых 4в1 Сиб-КруК Кардиофорте орехи+семена для сердца 200г,393,Санкт-Петербург,229,https://www.detmir.ru/product/index/id/3339375/
3310262,Чипсы King Island кокосовые в кофейной глазури 40г,170.90,Санкт-Петербург,109,https://www.detmir.ru/product/index/id/3310262/
3649388,Чипсы MOjNO редька-лук-зеленью 75г,149.90,Санкт-Петербург,109,https://www.detmir.ru/product/index/id/3649388/
4047039,Чипсы PastiLab фруктовые красное яблоко 30г,129.90,Санкт-Петербург,109,https://www.detmir.ru/product/index/id/4047039/
3294948,Козинак Рототайка на фруктозе арахис-чернослив 27г,24.50,Санкт-Петербург,19.70,https://www.detmir.ru/product/index/id/3294948/
3418935,Хлебцы ПП ржаные с кориандром и тмином 100г,73.50,Санкт-Петербург,50.39,https://www.detmir.ru/product/index/id/3418935/
3506114,Чипсы Сибуки морская капуста-миндаль 25г,251,Санкт-Петербург,209,https://www.detmir.ru/product/index/id/3506114/
3649412,Дыня Vitazine сублимированная 27г,285,Санкт-Петербург,209,https://www.detmir.ru/product/index/id/3649412/
4106527,Орехи Щелкунов Макадамия в скорлупе 100 гр,358,Санкт-Петербург,203,https://www.detmir.ru/product/index/id/4106527/
3277078,Снеки Зеленика сушеная груша 20г,157.90,Санкт-Петербург,98.90,https://www.detmir.ru/product/index/id/3277078/
3335283,Батончик Ego фруктово-ореховый годжи 45г,96.90,Санкт-Петербург,Отсутствует,https://www.detmir.ru/product/index/id/3335283/
